season,date,competition,stage,venue,opponent,source_url
2017/2018,2017-06-29,UEL_Q,Q1 1st leg,H,Pelister,https://fbref.com/en/squads/fdba14df/2017-2018/matchlogs/c19/schedule/Lech-Poznan-Scores-and-Fixtures-Europa-League
2017/2018,2017-07-06,UEL_Q,Q1 2nd leg,A,Pelister,https://fbref.com/en/squads/fdba14df/2017-2018/matchlogs/c19/schedule/Lech-Poznan-Scores-and-Fixtures-Europa-League
2017/2018,2017-07-13,UEL_Q,Q2 1st leg,A,Haugesund,https://fbref.com/en/squads/fdba14df/2017-2018/matchlogs/c19/schedule/Lech-Poznan-Scores-and-Fixtures-Europa-League
2017/2018,2017-07-20,UEL_Q,Q2 2nd leg,H,Haugesund,https://fbref.com/en/squads/fdba14df/2017-2018/matchlogs/c19/schedule/Lech-Poznan-Scores-and-Fixtures-Europa-League
2017/2018,2017-07-27,UEL_Q,Q3 1st leg,A,Utrecht,https://fbref.com/en/squads/fdba14df/2017-2018/matchlogs/c19/schedule/Lech-Poznan-Scores-and-Fixtures-Europa-League
2017/2018,2017-08-03,UEL_Q,Q3 2nd leg,H,Utrecht,https://fbref.com/en/squads/fdba14df/2017-2018/matchlogs/c19/schedule/Lech-Poznan-Scores-and-Fixtures-Europa-League
2018/2019,2018-07-12,UEL_Q,Q1 1st leg,H,Gandzasar,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2018
2018/2019,2018-07-19,UEL_Q,Q1 2nd leg,A,Gandzasar,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2018
2018/2019,2018-07-26,UEL_Q,Q2 1st leg,A,Soligorsk,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2018
2018/2019,2018-08-02,UEL_Q,Q2 2nd leg,H,Soligorsk,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2018
2018/2019,2018-08-09,UEL_Q,Q3 1st leg,A,Genk,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2018
2018/2019,2018-08-16,UEL_Q,Q3 2nd leg,H,Genk,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2018
2020/2021,2020-08-27,UEL_Q,Q1,H,Valmiera,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2020
2020/2021,2020-09-16,UEL_Q,Q2,A,Hammarby,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2020
2020/2021,2020-09-23,UEL_Q,Q3,A,Apollon Limassol,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2020
2020/2021,2020-10-01,UEL_Q,Play-off,A,Charleroi,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2020
2020/2021,2020-10-22,UEL,Group,H,Benfica,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2020
2020/2021,2020-10-29,UEL,Group,A,Rangers,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2020
2020/2021,2020-11-05,UEL,Group,H,Standard Liege,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2020
2020/2021,2020-11-26,UEL,Group,A,Standard Liege,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2020
2020/2021,2020-12-03,UEL,Group,A,Benfica,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2020
2020/2021,2020-12-10,UEL,Group,H,Rangers,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2020
2022/2023,2022-07-05,UCL_Q,Q1 1st leg,H,Qarabag,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2022/2023,2022-07-12,UCL_Q,Q1 2nd leg,A,Qarabag,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2022/2023,2022-07-21,UECL_Q,Q2 1st leg,H,Dinamo Batumi,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2022/2023,2022-07-28,UECL_Q,Q2 2nd leg,A,Dinamo Batumi,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2022/2023,2022-08-04,UECL_Q,Q3 1st leg,A,Vikingur,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2022/2023,2022-08-11,UECL_Q,Q3 2nd leg,H,Vikingur,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2022/2023,2022-08-18,UECL_Q,Play-off 1st leg,H,F91 Dudelange,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2022/2023,2022-08-25,UECL_Q,Play-off 2nd leg,A,F91 Dudelange,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2022/2023,2022-09-08,UECL,Group,A,Villarreal,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2022/2023,2022-09-15,UECL,Group,H,Austria Wien,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2022/2023,2022-10-06,UECL,Group,H,Hapoel Beer Sheva,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2022/2023,2022-10-13,UECL,Group,A,Hapoel Beer Sheva,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2022/2023,2022-10-27,UECL,Group,A,Austria Wien,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2022/2023,2022-11-03,UECL,Group,H,Villarreal,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2022/2023,2023-02-16,UECL,Knockout play-off 1st leg,A,Bodo/Glimt,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2022/2023,2023-02-23,UECL,Knockout play-off 2nd leg,H,Bodo/Glimt,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2022/2023,2023-03-09,UECL,R16 1st leg,H,Djurgarden,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2022/2023,2023-03-16,UECL,R16 2nd leg,A,Djurgarden,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2022/2023,2023-04-13,UECL,QF 1st leg,H,Fiorentina,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2022/2023,2023-04-20,UECL,QF 2nd leg,A,Fiorentina,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2022/plus/1
2023/2024,2023-07-27,UECL_Q,Q2 1st leg,H,Kauno Zalgiris,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2023
2023/2024,2023-08-03,UECL_Q,Q2 2nd leg,A,Kauno Zalgiris,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2023
2023/2024,2023-08-10,UECL_Q,Q3 1st leg,H,Spartak Trnava,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2023
2023/2024,2023-08-17,UECL_Q,Q3 2nd leg,A,Spartak Trnava,https://www.transfermarkt.com/lech-posen/spielplan/verein/238/saison_id/2023
2025/2026,2025-07-22,UCL_Q,Q2 1st leg,H,Breidablik,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2025
2025/2026,2025-07-30,UCL_Q,Q2 2nd leg,A,Breidablik,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2025
2025/2026,2025-08-06,UCL_Q,Q3 1st leg,H,Red Star,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2025
2025/2026,2025-08-12,UCL_Q,Q3 2nd leg,A,Red Star,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2025
2025/2026,2025-08-21,UEL_Q,Play-off 1st leg,H,Genk,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2025
2025/2026,2025-08-28,UEL_Q,Play-off 2nd leg,A,Genk,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2025
2025/2026,2025-10-02,UECL,League phase,H,Rapid Vienna,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2025
2025/2026,2025-10-23,UECL,League phase,A,Lincoln,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2025
2025/2026,2025-11-06,UECL,League phase,A,Rayo Vallecano,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2025
2025/2026,2025-11-27,UECL,League phase,H,Lausanne,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2025
2025/2026,2025-12-11,UECL,League phase,H,Mainz,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2025
2025/2026,2025-12-18,UECL,League phase,A,Sigma Olomouc,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2025
2025/2026,2026-02-19,UECL,Knockout play-off 1st leg,A,KuPS,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2025
2025/2026,2026-02-26,UECL,Knockout play-off 2nd leg,H,KuPS,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2025
2025/2026,2026-03-12,UECL,R16 1st leg,H,Shakhtar Donetsk,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2025
2025/2026,2026-03-19,UECL,R16 2nd leg,A,Shakhtar Donetsk,https://www.transfermarkt.com/lech-poznan/spielplan/verein/238/saison_id/2025
